step,seed0,seed1,seed2,seed3,seed4,seed5,meanfield
1.000000000000000000e+03,1.658487017621642856e+00,1.661909229244881381e+00,1.655873012306656955e+00,1.643963651806407578e+00,1.658259886871618294e+00,1.657842205943917957e+00,1.658022963696178742e+00
2.000000000000000000e+03,1.668813979215891585e+00,1.672869828163625616e+00,1.662079778863105428e+00,1.651576930473056093e+00,1.669235661366166301e+00,1.666217082382396075e+00,1.667001074078310996e+00
3.000000000000000000e+03,1.678224134206788953e+00,1.691401556431340047e+00,1.670330643117826197e+00,1.657521124666257117e+00,1.677163284365936979e+00,1.679038960833594496e+00,1.675934996022920620e+00
4.000000000000000000e+03,1.688738310226555184e+00,1.702835779060023702e+00,1.680603872797002074e+00,1.666829525776481580e+00,1.687524503152363131e+00,1.686684031514963822e+00,1.684825377064290475e+00
5.000000000000000000e+03,1.697079204639397432e+00,1.714790422918181401e+00,1.689080942762296589e+00,1.673644232242313956e+00,1.697631528359300201e+00,1.695118653683260534e+00,1.693672848033634937e+00
6.000000000000000000e+03,1.706113865088738413e+00,1.721531248206397802e+00,1.694795282754861576e+00,1.683839031066688419e+00,1.704438586167664749e+00,1.701841694691676787e+00,1.702478023668306806e+00
7.000000000000000000e+03,1.715114737881765716e+00,1.731644556226778153e+00,1.708201939417270276e+00,1.693381359744052794e+00,1.715339921360775621e+00,1.709530711722031526e+00,1.711241503192726165e+00
8.000000000000000000e+03,1.721237292933975427e+00,1.740014055995853237e+00,1.719430841775383856e+00,1.704348064869644297e+00,1.719833385660402447e+00,1.717322068435717330e+00,1.719963870872614820e+00
9.000000000000000000e+03,1.728588584270638107e+00,1.746827480309266711e+00,1.724917856928039672e+00,1.714868102232663283e+00,1.727633940399327717e+00,1.726378818052229480e+00,1.728645696544006460e+00
1.000000000000000000e+04,1.736701327929744076e+00,1.752868645620303756e+00,1.730900628341352609e+00,1.721745017903762776e+00,1.736366768849789022e+00,1.734572314614566624e+00,1.737287536118421905e+00
1.100000000000000000e+04,1.741031201963812336e+00,1.760567635723994773e+00,1.736239229780592863e+00,1.731947092533218768e+00,1.745475241276614575e+00,1.745820049566225052e+00,1.745889932065496364e+00
1.200000000000000000e+04,1.746863371714238777e+00,1.769358895722728642e+00,1.746272355214713690e+00,1.738215836673064896e+00,1.753257993053576991e+00,1.754751274405883965e+00,1.754453413874273782e+00
1.300000000000000000e+04,1.752281613239796920e+00,1.776362336372157902e+00,1.754237311434851287e+00,1.746424719254249025e+00,1.764312864016306381e+00,1.763832070345205061e+00,1.762978498494305324e+00
1.400000000000000000e+04,1.759387705803407531e+00,1.785653172804531064e+00,1.762009288274839491e+00,1.752332380493329955e+00,1.770972932092132135e+00,1.771062472645312358e+00,1.771465690757614286e+00
1.500000000000000000e+04,1.765845023441642736e+00,1.796480695250462833e+00,1.772835568121861938e+00,1.759224517670048504e+00,1.775529702837825408e+00,1.775983626844682917e+00,1.779915483782530838e+00
1.600000000000000000e+04,1.773424252938148094e+00,1.803457840764544740e+00,1.780757046238824248e+00,1.768377594849094958e+00,1.782321989038773147e+00,1.782789998021565570e+00,1.788328359360332964e+00
1.700000000000000000e+04,1.782439262131803259e+00,1.811535879476461330e+00,1.789299968937628549e+00,1.774930062294756361e+00,1.790855764399070571e+00,1.796125186744940372e+00,1.796704788325580671e+00
1.800000000000000000e+04,1.789504651280268810e+00,1.816050040856286074e+00,1.794165580555885153e+00,1.784721355287529621e+00,1.796117544222398665e+00,1.803454146968258787e+00,1.805045230910966358e+00
1.900000000000000000e+04,1.795325367706469999e+00,1.822800793281547316e+00,1.802596578777816427e+00,1.793402682979957197e+00,1.801812492731025728e+00,1.810414199479849495e+00,1.813350137087469616e+00
2.000000000000000000e+04,1.804574430027210408e+00,1.832324074746193965e+00,1.807991570677386584e+00,1.800481718219201666e+00,1.809837480667545462e+00,1.815866731723679628e+00,1.821619946890546071e+00
2.100000000000000000e+04,1.812505966382930156e+00,1.839199830574895111e+00,1.817312529681435862e+00,1.808802519128152264e+00,1.819419195041732884e+00,1.827519301995440548e+00,1.829855090733043532e+00
2.200000000000000000e+04,1.822534539174611501e+00,1.844032538771626095e+00,1.825139054813607498e+00,1.818135282238723116e+00,1.824857026212549416e+00,1.835342523803567660e+00,1.838055989705498883e+00
2.300000000000000000e+04,1.828426144580206136e+00,1.850982720387783775e+00,1.830563711657963832e+00,1.823834679597797992e+00,1.831249229770456566e+00,1.840001915323838055e+00,1.846223055864428808e+00
2.400000000000000000e+04,1.835579010118047583e+00,1.862286133077285744e+00,1.834999019143463084e+00,1.828855757695836637e+00,1.838587610032860198e+00,1.847486765204395587e+00,1.854356692509193882e+00
2.500000000000000000e+04,1.842645632872952799e+00,1.870884850370799768e+00,1.841158429842580491e+00,1.836085338566401992e+00,1.848923904067381496e+00,1.856749533709731059e+00,1.862457294447985356e+00
2.600000000000000000e+04,1.849080163204103400e+00,1.877637130357709738e+00,1.847355573445624399e+00,1.843074708056266831e+00,1.860888888795038998e+00,1.865140038736360362e+00,1.870525248253448680e+00
2.700000000000000000e+04,1.857405771451526411e+00,1.885701162196624869e+00,1.852491476734500431e+00,1.850491606091509533e+00,1.870222147833965787e+00,1.874718285667238415e+00,1.878560932508433590e+00
2.800000000000000000e+04,1.862157970379464622e+00,1.891629272495238379e+00,1.858742933175511203e+00,1.857716706920035987e+00,1.876777571864920446e+00,1.879573475794985127e+00,1.886564718042330613e+00
2.900000000000000000e+04,1.867431903642123858e+00,1.896961491825164936e+00,1.868819677966117254e+00,1.864085028791438337e+00,1.882590441213013444e+00,1.888551163705977309e+00,1.894536968158430312e+00
3.000000000000000000e+04,1.873554935094480012e+00,1.905300768976536219e+00,1.877295743777920078e+00,1.870227732002753829e+00,1.886937496594328856e+00,1.897619696695828972e+00,1.902478038852719155e+00
3.100000000000000000e+04,1.885467956854764093e+00,1.912821491557993969e+00,1.885143451604731624e+00,1.878339658338011864e+00,1.892374836992767762e+00,1.905121958371197799e+00,1.910388279024500813e+00
3.200000000000000000e+04,1.895868221587537761e+00,1.919008890154141778e+00,1.893793494473679617e+00,1.884629308079633692e+00,1.898040550249482150e+00,1.908984165520095644e+00,1.918268030679211922e+00
3.300000000000000000e+04,1.905687478434219484e+00,1.923774221704961374e+00,1.902371188868061891e+00,1.891975675076850605e+00,1.904305983400276903e+00,1.917026271998855558e+00,1.926117629123785147e+00
3.400000000000000000e+04,1.913503106569132362e+00,1.932091838448951382e+00,1.912019694080214993e+00,1.900202136884299176e+00,1.909733829006909023e+00,1.925343860582829247e+00,1.933937403154887935e+00
3.500000000000000000e+04,1.918773376250672902e+00,1.937722757154918707e+00,1.918927660894919951e+00,1.906402664824415671e+00,1.921451606041166826e+00,1.931578533558862443e+00,1.941727675240354944e+00
3.600000000000000000e+04,1.922704915403364190e+00,1.942316969348736100e+00,1.926676641621814401e+00,1.914994589803348912e+00,1.926018150347851954e+00,1.936331588970367168e+00,1.949488761694107675e+00
3.700000000000000000e+04,1.929230902958785965e+00,1.949192668167059495e+00,1.933032182570808999e+00,1.920708451197472799e+00,1.933654204916309016e+00,1.944607798442921975e+00,1.957220972844850415e+00
3.800000000000000000e+04,1.933609159946042100e+00,1.956099186645638977e+00,1.939218006227452218e+00,1.924803960613566289e+00,1.945797742882639625e+00,1.952303628358172283e+00,1.964924613198806957e+00
3.900000000000000000e+04,1.940376125168616461e+00,1.964390834211051207e+00,1.943162702328461444e+00,1.931662939648402855e+00,1.951070465684026534e+00,1.958880290846791716e+00,1.972599981596751872e+00
4.000000000000000000e+04,1.950412104201743491e+00,1.971403151694186118e+00,1.948655926364639690e+00,1.936231142825072471e+00,1.955379542785993019e+00,1.965799348244666511e+00,1.980247371365585707e+00
4.100000000000000000e+04,1.958979530748156783e+00,1.980475918379397404e+00,1.958138821446118172e+00,1.942386244989917854e+00,1.962302163994642967e+00,1.969695179670068574e+00,1.987867070464675923e+00
4.200000000000000000e+04,1.964872787104881224e+00,1.986521378001551374e+00,1.964537190088557317e+00,1.947866760612898762e+00,1.967415455287230275e+00,1.978298316473077190e+00,1.995459361627187400e+00
4.300000000000000000e+04,1.970516536598502677e+00,1.991117842437756691e+00,1.972653245582962400e+00,1.952552515220266294e+00,1.973904718557289328e+00,1.983846399600342369e+00,2.003024522496610782e+00
4.400000000000000000e+04,1.975491334415617750e+00,1.996076792731708016e+00,1.977471025482697486e+00,1.959781271606085395e+00,1.978488168301713701e+00,1.988175213279571141e+00,2.010562825758684724e+00
4.500000000000000000e+04,1.980897756310384228e+00,2.001837470991541856e+00,1.985509475584257499e+00,1.965473556085628237e+00,1.984730393537984972e+00,1.992842296417057790e+00,2.018074539268902790e+00
4.600000000000000000e+04,1.988877355462800756e+00,2.006989637697993878e+00,1.995325594603576835e+00,1.971208191570093193e+00,1.991395741499316641e+00,1.998262784451316776e+00,2.025559926175780845e+00
4.700000000000000000e+04,1.994655124013254621e+00,2.012697440629501067e+00,2.001986499854472079e+00,1.976920182522590830e+00,1.996361859787227022e+00,2.004806212947452870e+00,2.033019245040061929e+00
4.800000000000000000e+04,2.001164204876479058e+00,2.020391283238781810e+00,2.005459914459558846e+00,1.981464876324087854e+00,2.000207973634824832e+00,2.010278910147742515e+00,2.040452749950016020e+00
4.900000000000000000e+04,2.008285613363239630e+00,2.026391489271659463e+00,2.009724605833104416e+00,1.984725065778805142e+00,2.004274694690671321e+00,2.016323309214342441e+00,2.047860690632992142e+00
5.000000000000000000e+04,2.017001370111148439e+00,2.032794204649698955e+00,2.014806644396658353e+00,1.991631973578549930e+00,2.010284016685252695e+00,2.022071715470046271e+00,2.055243312563372449e+00
5.100000000000000000e+04,2.028143079726620446e+00,2.039311368518080148e+00,2.019435543230296393e+00,1.997807394852497920e+00,2.017716549674630322e+00,2.031721132595938339e+00,2.062600857067065085e+00
5.200000000000000000e+04,2.039313227248066074e+00,2.044653012097200850e+00,2.027991982110064040e+00,2.003283958809904064e+00,2.026136926781100023e+00,2.035032463254232038e+00,2.069933561422676593e+00
5.300000000000000000e+04,2.042590934565855054e+00,2.052579151183504091e+00,2.034209801483541025e+00,2.008629098343838848e+00,2.031458148490911775e+00,2.042126618647131853e+00,2.077241658959486870e+00
5.400000000000000000e+04,2.050953453699430717e+00,2.056569848583662097e+00,2.042737481828795332e+00,2.014846102175400944e+00,2.036212735314305800e+00,2.049353880334029210e+00,2.084525379152351920e+00
5.500000000000000000e+04,2.056366491285192666e+00,2.061887798959618934e+00,2.046475203333926185e+00,2.023193316448704593e+00,2.045192961840538448e+00,2.057447681030885711e+00,2.091784947713653420e+00
5.600000000000000000e+04,2.066027989876992876e+00,2.070361007635850292e+00,2.054378831012647399e+00,2.030108934472909077e+00,2.051448919600190379e+00,2.062698775670475992e+00,2.099020586682403433e+00
5.700000000000000000e+04,2.074985982296496445e+00,2.075077526416500451e+00,2.060502350530729831e+00,2.037379116900868148e+00,2.059176656064515498e+00,2.069963921352365510e+00,2.106232514510612663e+00
5.800000000000000000e+04,2.081597604704271909e+00,2.081893870287061077e+00,2.066167939548172683e+00,2.043014183619053181e+00,2.064758875505960933e+00,2.080395801955746471e+00,2.113420946147027468e+00
5.900000000000000000e+04,2.090292484262882500e+00,2.089406735076940524e+00,2.072076357020103288e+00,2.046862312272363038e+00,2.073820983948140739e+00,2.085552116048039473e+00,2.120586093118327131e+00
6.000000000000000000e+04,2.098153698922888388e+00,2.095368896095441968e+00,2.078078193290137321e+00,2.049951605266374433e+00,2.078133073463430236e+00,2.091723094094005031e+00,2.127728163607883527e+00
6.100000000000000000e+04,2.104414882297463762e+00,2.100742640023145924e+00,2.086109755733319915e+00,2.055156458317947354e+00,2.084008291694626980e+00,2.099584223044300035e+00,2.134847362532162229e+00
6.200000000000000000e+04,2.108492923033954192e+00,2.107321584452566565e+00,2.088881627523537787e+00,2.060854610330685510e+00,2.090223283150097977e+00,2.105504252192738068e+00,2.141943891614862761e+00
6.300000000000000000e+04,2.117350116250047876e+00,2.112486226786265409e+00,2.096900154847458175e+00,2.067975831517865348e+00,2.096914692209007391e+00,2.109687424918911702e+00,2.149017949458867704e+00
6.400000000000000000e+04,2.122940130147136450e+00,2.119307078931992550e+00,2.103026879976310770e+00,2.076924572491849474e+00,2.103236919279769968e+00,2.115945699874598240e+00,2.156069731616089502e+00
6.500000000000000000e+04,2.130521789270634958e+00,2.124548148806748138e+00,2.109728876289322486e+00,2.083517639429299795e+00,2.108286938740765670e+00,2.119941682199307564e+00,2.163099430655283761e+00
6.600000000000000000e+04,2.137412187422964127e+00,2.131413638675530020e+00,2.115632680460943771e+00,2.087725587993221943e+00,2.116938248161269076e+00,2.127740899479820147e+00,2.170107236227903247e+00
6.700000000000000000e+04,2.142922818926966677e+00,2.137969993317324402e+00,2.119525361328309820e+00,2.093027587409972412e+00,2.125891716103730733e+00,2.134198596292258276e+00,2.177093335132063157e+00
6.800000000000000000e+04,2.150222091461661655e+00,2.146835401194579607e+00,2.124124585285932287e+00,2.096480826979337131e+00,2.133780182029950900e+00,2.140337459708848922e+00,2.184057911374680749e+00
6.900000000000000000e+04,2.160154831440914247e+00,2.153140594522189755e+00,2.127375609158811631e+00,2.102723705057780279e+00,2.138959780728824089e+00,2.144821933832142147e+00,2.191001146231854602e+00
7.000000000000000000e+04,2.165734285147193905e+00,2.157358828944408558e+00,2.132593127164041924e+00,2.112044771988271563e+00,2.144388399393309275e+00,2.151964432773311398e+00,2.197923218307546112e+00
7.100000000000000000e+04,2.171013449825595742e+00,2.162523219687891629e+00,2.137576673687855866e+00,2.116823367844908876e+00,2.151371608862898022e+00,2.156045044544949274e+00,2.204824303590616097e+00
7.200000000000000000e+04,2.176339727136058499e+00,2.166886179143719282e+00,2.143240306474636814e+00,2.120781679660450614e+00,2.158374632293452056e+00,2.164017029505383327e+00,2.211704575510280879e+00
7.300000000000000000e+04,2.181328028663878094e+00,2.173826036840887266e+00,2.147820307696139963e+00,2.128297598734458340e+00,2.162347947373440160e+00,2.170210009512508531e+00,2.218564204990032707e+00
7.400000000000000000e+04,2.186129430624902170e+00,2.181155367615761786e+00,2.157670669111442230e+00,2.133110283996032308e+00,2.167491601421352776e+00,2.174877557441464049e+00,2.225403360500084027e+00
7.500000000000000000e+04,2.194812891810295596e+00,2.188034067827576035e+00,2.165205447101643976e+00,2.139019387054830634e+00,2.173415438070971373e+00,2.179460215834832404e+00,2.232222208108379569e+00
7.600000000000000000e+04,2.198761234386923835e+00,2.192257266840056840e+00,2.170313359207969750e+00,2.145701765979335818e+00,2.179923764218437920e+00,2.184682284615922399e+00,2.239020911530226421e+00
7.700000000000000000e+04,2.202823992656929963e+00,2.196696836884337145e+00,2.175305845614251332e+00,2.153230617078452092e+00,2.188335133774371499e+00,2.190504728824238079e+00,2.245799632176588734e+00
7.800000000000000000e+04,2.209723768597583682e+00,2.201549674202635920e+00,2.179389534547558238e+00,2.158831669119661179e+00,2.194647795815541702e+00,2.195427244317639914e+00,2.252558529201088788e+00
7.900000000000000000e+04,2.214931941034945950e+00,2.208580377252161053e+00,2.185226379268165431e+00,2.162941797047766013e+00,2.199383023115922597e+00,2.201908904415931456e+00,2.259297759545758399e+00
8.000000000000000000e+04,2.221882670617364219e+00,2.213741182950524689e+00,2.190061499333561645e+00,2.168438635109447787e+00,2.203959174692009970e+00,2.204417625849900197e+00,2.266017477985579287e+00
