global_step,J_or_return,gain_or_actnorm,logstd
327680,1508.3854694686834,1.486425855731964,-1.0883228778839111
655360,1910.9770448816932,1.7349916935443879,-1.4743285179138184
983040,1846.19865924492,1.997726791524887,-1.6328105926513672
1310720,1541.4602808779566,2.0175570082187653,-1.7699137926101685
1638400,1628.8925485308057,1.9337996838569642,-1.8050812482833862
1966080,1786.0194183313488,1.9652294181346894,-1.7959038019180298
2293760,2246.454207812164,2.0688933359622954,-1.798497200012207
2621440,2211.700561732295,2.025576659345627,-1.7677136659622192
2949120,2377.1808641626767,1.996276379442215,-1.8003660440444946
3276800,1931.8506857027555,2.241283371424675,-1.8033844232559204
3604480,2320.2901768458473,2.4126972212314604,-1.7920807600021362
3932160,2317.798268741577,2.484123842859268,-1.7846366167068481
4259840,1927.5927767022542,2.187126684641838,-1.8172916173934937
4587520,2424.1524289096546,2.3166184394836424,-1.8553954362869263
4915200,2494.132275608749,2.3159193307876587,-1.8984832763671875
5242880,2435.5348677434536,2.479391174840927,-1.9403899908065796
5570560,2530.7730896002954,2.4667661327362063,-1.9941610097885132
5898240,2471.9207403564733,2.4436183965682985,-2.02657413482666
6225920,2473.3992674366523,2.4040318266391756,-2.0217394828796387
6553600,2751.1113445169067,2.3554213266849517,-2.0255181789398193
6881280,2950.947229453578,2.404215036010742,-2.060762405395508
7208960,2536.122273051204,2.5021648869514466,-2.115095615386963
7536640,2909.623862620473,2.4987741503715517,-2.1426870822906494
7864320,2650.8307881936607,2.4692384855270384,-2.1496384143829346
8192000,2618.0117357885383,2.5326801069259646,-2.159242868423462
8519680,2668.2448206115105,2.5312070541381835,-2.169774055480957
8847360,2506.7579149099133,2.494416988182068,-2.1821534633636475
9175040,2631.3442352799407,2.460265103149414,-2.1999614238739014
9502720,2758.1415492649417,2.5104776725769042,-2.2068417072296143
9830400,2654.520751670264,2.447392212677002,-2.2175376415252686
